Sản phẩm,SKU,Đơn vị,Giá lẻ,Giá sỉ,KHOADL,VITA,VYQN,NAMAN,TRAMQ10,TUANTHUY,HOA,TUANH,ANHPR,GREENTECH,P50,LOYAL
Trà đậu gạo (gói 250gr),XUANLOC95,Gói,65.000,45.000,45.000,45.000,45.000,0,45.000,45.000,45.000,45.000,0,45.000,45.000,45.000
Hủ tiếu khô,XUANLOC94,Kg,150.000,105.000,105.000,105.000,105.000,0,105.000,105.000,96.800,105.000,0,105.000,105.000,105.000
Bánh nổ có đường (gói 200gr),XUANLOC93,Gói,41.000,28.000,28.000,28.000,28.000,0,28.000,28.000,28.000,28.000,0,28.000,28.000,28.000
Bột mình tinh,XUANLOC92,Kg,267.000,187.000,187.000,187.000,187.000,0,187.000,187.000,187.000,187.000,0,187.000,187.000,187.000
Bột ngũ cốc (hủ 500gr),XUANLOC91,Hủ,158.000,110.000,110.000,110.000,110.000,0,110.000,110.000,110.000,110.000,0,110.000,110.000,110.000
Bột gừng gia vị (xá),XUANLOC90,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bột riềng gia vị (hủ 50gr),XUANLOC89,Hủ,70.000,40.000,40.000,40.000,40.000,0,40.000,40.000,40.000,40.000,0,40.000,40.000,40.000
Gừng gia vị sấy lát,XUANLOC88,Kg,870.000,570.000,570.000,570.000,570.000,0,570.000,570.000,570.000,570.000,0,570.000,570.000,570.000
Bột ớt đỏ gia vị (hủ 50gr),XUANLOC87,Hủ,80.000,50.000,50.000,50.000,50.000,0,50.000,50.000,50.000,50.000,0,50.000,50.000,50.000
Tắc ngâm mật ong (hủ 250ml),XUANLOC86,Hủ,88.000,58.000,58.000,58.000,58.000,0,58.000,58.000,58.000,58.000,0,58.000,58.000,58.000
Sả sấy lát (xá),XUANLOC85,Kg,0,400.000,400.000,400.000,400.000,0,400.000,400.000,400.000,400.000,0,400.000,400.000,400.000
Gừng lát ngâm mật ong (250ml),XUANLOC84,Hủ,119.000,83.000,83.000,83.000,83.000,0,83.000,83.000,83.000,83.000,0,83.000,83.000,83.000
Trà tía tô (50gr),XUANLOC83,Gói,43.000,25.000,25.000,25.000,25.000,0,25.000,25.000,25.000,25.000,0,25.000,25.000,25.000
Bơ đậu phộng (hủ 300gr),XUANLOC82,Hủ,107.000,77.000,77.000,77.000,77.000,0,77.000,77.000,77.000,77.000,0,77.000,77.000,77.000
Bơ đậu phộng (hủ 150gr),XUANLOC81,Hủ,68.000,47.000,47.000,47.000,47.000,0,47.000,47.000,47.000,47.000,0,47.000,47.000,47.000
Nghệ sấy lát (xá),XUANLOC80,Kg,0,480.000,480.000,480.000,480.000,0,480.000,480.000,480.000,480.000,0,480.000,480.000,480.000
Ớt khô nguyên trái (gói 50gr),XUANLOC79,Gói,41.000,26.000,26.000,26.000,26.000,0,26.000,26.000,26.000,26.000,0,26.000,26.000,26.000
Gừng gia vị sấy lát (gói 50gr),XUANLOC78,Gói,45.000,30.000,30.000,30.000,30.000,0,30.000,30.000,30.000,30.000,0,30.000,30.000,30.000
Trà sả (sả sấy khô)(gói 50gr),XUANLOC77,Gói,40.000,22.000,22.000,22.000,22.000,0,22.000,22.000,22.000,22.000,0,22.000,22.000,22.000
Nước nho lên men (350ml),XUANLOC76,Chai,98.000,68.000,68.000,68.000,68.000,0,68.000,68.000,68.000,68.000,0,68.000,68.000,68.000
"Măng chua (ớt, tỏi) (hủ 500gr)",XUANLOC75,Hủ,70.000,48.000,48.000,48.000,48.000,0,48.000,48.000,48.000,48.000,0,48.000,48.000,48.000
Nghệ sấy lát (gói 50gr),XUANLOC74,Gói,43.000,28.000,28.000,28.000,28.000,0,28.000,28.000,28.000,28.000,0,28.000,28.000,28.000
Trà gừng (gừng uống sấy lát) (gói 100gr),XUANLOC73,Gói,95.000,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000
Hành tím khô sấy lát (gói 50gr),XUANLOC72,Gói,106.000,74.000,74.000,74.000,74.000,0,74.000,74.000,74.000,74.000,0,74.000,74.000,74.000
Tỏi khô sấy lát (gói 50gr),XUANLOC71,Gói,113.000,79.000,79.000,0,0,0,0,0,0,0,0,0,79.000,0
Xá bấu,XUANLOC70,Kg,0,0,0,0,0,0,0,0,0,66.000,0,0,0,0
Bánh nổ không đường (gói 200gr),XUANLOC69,Gói,41.000,28.000,28.000,28.000,28.000,0,28.000,28.000,28.000,28.000,0,28.000,28.000,28.000
Bột mè cửu chưng cửu sái (hủ 100gr),XUANLOC68,Hủ,65.000,0,45.000,0,0,0,0,0,0,0,0,0,45.000,0
Mè cửu chưng cửu sái (hủ 200gr),XUANLOC67,Hủ,185.000,126.000,126.000,126.000,126.000,0,126.000,126.000,126.000,126.000,0,126.000,126.000,126.000
Dưa leo muối ngọt (gói 150gr),XUANLOC66,Gói,36.000,27.000,27.000,27.000,27.000,0,27.000,27.000,27.000,27.000,0,27.000,27.000,27.000
Sét nấu nước 7 gói (Mã đề+ Rau má + Rau bắp + Rễ cỏ tranh),XUANLOC65,Gói,120.000,80.000,80.000,80.000,80.000,0,80.000,80.000,80.000,80.000,0,80.000,80.000,80.000
Hoài sơn (gói 50gr),XUANLOC64,Gói,50.000,0,0,0,0,0,0,0,0,0,0,0,0,0
Bơ đậu phộng (hủ 5kg),XUANLOC63,Hủ,0,1.228.000,1.228.000,1.228.000,1.228.000,0,1.228.000,1.228.000,1.228.000,1.228.000,0,1.228.000,1.228.000,1.228.000
Hoài sơn,XUANLOC62,Kg,0,750.000,750.000,750.000,750.000,0,750.000,750.000,750.000,750.000,0,750.000,750.000,750.000
Sét hầm nước 7 món (gói 90gr-100gr),XUANLOC61,Gói,89.000,62.000,62.000,62.000,62.000,0,62.000,62.000,62.000,62.000,0,62.000,62.000,62.000
Trà sâm dây (hủ 100gr),XUANLOC60,Hủ,180.000,120.000,120.000,120.000,120.000,0,120.000,120.000,120.000,120.000,0,120.000,120.000,120.000
Sét hầm gà (sâm+bo bo+kê+gừng+ hoài sơn),XUANLOC59,Gói,0,0,0,0,0,0,0,0,70.000,0,0,0,0,0
Sét hầm gà (sâm+bo bo+kê+nấm+gừng+ hoài sơn),XUANLOC58,Gói,0,0,0,0,0,0,0,0,87.000,0,0,0,0,0
Dầu hành phi (hủ 150gr),XUANLOC57,Hủ,89.000,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000
Trà đậu săng (gói 250gr),XUANLOC56,Gói,100.000,70.000,70.000,70.000,70.000,0,70.000,70.000,70.000,70.000,0,70.000,70.000,70.000
Ngãi cứu sấy khô (gói 50gr),XUANLOC55,Gói,52.000,26.000,26.000,26.000,26.000,0,26.000,26.000,26.000,26.000,0,26.000,26.000,26.000
Củ cải khô,XUANLOC54,Kg,0,500.000,500.000,500.000,500.000,0,500.000,500.000,500.000,500.000,0,500.000,500.000,500.000
Hành tím muối chua (hủ 250gr),XUANLOC53,Hủ,70.000,55.000,55.000,55.000,55.000,0,55.000,55.000,55.000,55.000,0,55.000,55.000,55.000
Rau má sấy khô (50gr),XUANLOC52,Gói,55.000,35.000,35.000,35.000,35.000,0,35.000,35.000,35.000,35.000,0,35.000,35.000,35.000
Sét hạt hoài sơn kê bo bo,XUANLOC51,Gói,59.000,39.000,39.000,39.000,39.000,0,39.000,39.000,39.000,39.000,0,39.000,39.000,39.000
Củ cải khô (gói 100gr),XUANLOC50,Gói,72.000,50.000,50.000,50.000,50.000,0,50.000,50.000,50.000,50.000,0,50.000,50.000,50.000
Hành lá sấy khô (50gr),XUANLOC49,Gói,55.000,38.000,38.000,38.000,38.000,0,38.000,38.000,38.000,38.000,0,38.000,38.000,38.000
Hành tây khô sấy lát (gói 50gr),XUANLOC48,Gói,106.000,74.000,74.000,74.000,74.000,0,74.000,74.000,74.000,74.000,0,74.000,74.000,74.000
Gừng chua ngọt (gói 200gr),XUANLOC47,Gói,70.000,40.000,40.000,40.000,40.000,0,40.000,40.000,40.000,40.000,0,40.000,40.000,40.000
Củ cải nguyên củ khô (gói 100gr),XUANLOC46,Gói,72.000,50.000,50.000,50.000,50.000,0,50.000,50.000,50.000,50.000,0,50.000,50.000,50.000
Cải muối chua nguyên cây,XUANLOC45,Kg,85.000,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000
Cà rốt sấy khô (gói 100gr),XUANLOC44,Gói,80.000,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000,65.000,0,65.000,65.000,65.000
Dầu đậu phộng,XUANLOC43,Lít,285.000,200.000,200.000,200.000,200.000,0,200.000,200.000,200.000,200.000,0,200.000,200.000,200.000
Sate ớt,XUANLOC42,Hủ,89.000,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000
Sate ớt sả,XUANLOC41,Hủ,89.000,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000
Sate ớt sả tỏi,XUANLOC40,Hủ,89.000,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000
Sate ớt tỏi,XUANLOC39,Hủ,89.000,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000,59.000,0,59.000,59.000,59.000
Dầu điều màu (250ml),XUANLOC38,Chai,113.000,79.000,79.000,79.000,79.000,0,79.000,79.000,79.000,79.000,0,79.000,79.000,79.000
Dầu điều màu (100ml),XUANLOC37,Chai,59.000,39.000,39.000,39.000,39.000,0,39.000,39.000,39.000,39.000,0,39.000,39.000,39.000
Dầu mè đen (250ml),XUANLOC36,Chai,158.000,110.000,110.000,110.000,110.000,0,110.000,110.000,110.000,110.000,0,110.000,110.000,110.000
Măng khô (gói 100gr),XUANLOC35,Gói,60.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000,42.000
Măng khô (gói 200gr),XUANLOC34,Gói,117.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000,82.000
Mít luộc,XUANLOC33,Kg,0,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000
Bánh tráng nướng,XUANLOC32,Cái,6.000,0,0,0,0,0,0,0,0,0,0,0,0,0
Bột đậu đen cửu chưng cửu sái (200gr),XUANLOC31,Hủ,76.000,0,53.000,0,0,0,0,0,0,0,0,0,53.000,0
Bột ớt đỏ gia vị (xá),XUANLOC30,Kg,858.000,600.000,600.000,0,0,0,0,0,440.000,0,0,0,600.000,0
Phở gạo trắng (tặng),XUANLOC29,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bột đậu đen cửu chưng cửu sái (500gr),XUANLOC28,Hủ,168.000,0,117.000,0,0,0,0,0,0,0,0,0,117.000,0
Trà tía tô (xá),XUANLOC27,Kg,0,0,366.000,0,0,0,0,0,0,0,0,0,366.000,0
"Sét canh hầm bổ tỳ (Bo Bo, Hoài sơn, Táo đỏ, Gừng)",XUANLOC26,Gói,47.000,32.000,32.000,0,0,0,0,0,0,0,0,0,32.000,0
Sét cháo nếp táo đỏ hạt sen gừng,XUANLOC25,Gói,55.000,38.000,38.000,0,0,0,0,0,0,0,0,0,38.000,0
Sét cháo nếp táo đỏ gừng,XUANLOC24,Gói,47.000,32.000,32.000,0,0,0,0,0,0,0,0,0,32.000,0
Bột gừng pha uống (hủ 100gr),XUANLOC23,Hủ,160.000,0,0,0,0,0,0,0,0,0,0,0,0,0
Bột ớt đỏ gia vị (gói 100gr),XUANLOC22,Gói,118.000,83.000,83.000,0,0,0,0,0,0,0,0,0,83.000,0
Trà sâm dây (gói 300gr),XUANLOC21,Gói,525.000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mứt gừng dẻo đường cát lu (hủ 200gr),XUANLOC20,Hủ,79.000,59.000,59.000,0,0,0,0,0,0,0,0,0,59.000,0
Hành tây sấy (kg),XUANLOC19,Kg,0,0,432.000,0,0,0,0,0,0,0,0,0,432.000,0
Hành lá khô (kg),XUANLOC18,Kg,0,0,367.000,0,0,0,0,0,0,0,0,0,367.000,0
Sâm dây ngâm mật ong (hủ 120gr),XUANLOC17,Hủ,178.000,135.000,135.000,0,0,0,0,0,0,0,0,0,135.000,0
Măng khô (xá),XUANLOC16,Kg,0,0,395.000,0,0,0,0,0,0,0,0,0,395.000,0
Mứt gừng dẻo đường mía thô (hủ 200gr),XUANLOC15,Hủ,130.000,95.000,95.000,0,0,0,0,0,0,0,0,0,95.000,0
Bột gạo xà cơn trắng (xay thô) hủ 500gr,XUANLOC14,Hủ,75.000,50.000,50.000,0,0,0,0,0,0,0,0,0,50.000,0
Bột gạo huyết rồng (xay thô) hủ 500gr,XUANLOC13,Hủ,75.000,50.000,50.000,0,0,0,0,0,0,0,0,0,50.000,0
Dầu mè đen,XUANLOC12,Lít,570.000,400.000,400.000,0,0,0,0,0,0,0,0,0,400.000,0
Ớt khô nguyên trái (xá),XUANLOC11,Gói,0,460.000,460.000,0,0,0,0,0,0,0,0,0,460.000,0
Mứt gừng dẻo đường mía thô (hủ 500gr),XUANLOC10,Hủ,315.000,220.000,220.000,0,0,0,0,0,0,0,0,0,220.000,0
Rau bắp khô (100gr),XUANLOC9,Gói,0,0,80.000,0,0,0,0,0,0,0,0,0,80.000,0
Rau bắp khô (100gr).,XUANLOC8,Gói,0,0,80.000,0,0,0,0,0,0,0,0,0,80.000,0
Sét nấu sữa hạt 15 gói,XUANLOC7,Set,295.000,220.000,220.000,0,0,0,0,0,0,0,0,0,220.000,0
Đậu ván rang củi (500gr),XUANLOC6,Gói,130.000,90.000,90.000,0,0,0,0,0,0,0,0,0,90.000,0
Gói nấu sữa hạt 50gr,XUANLOC5,Set,20.000,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sét trà mát dưỡng huyết 7 gói (bo bo, xích tiểu đậu, rau bắp)",XUANLOC4,Set,125.000,0,92.000,0,0,0,0,0,0,0,0,0,92.000,0
Sét trà gừng sả 7 gói,XUANLOC3,Gói,54.000,0,38.000,0,0,0,0,0,0,0,0,0,38.000,0
Sét trà gừng sả táo đỏ kỷ tử 7 gói,XUANLOC2,Gói,234.000,0,175.000,0,0,0,0,0,0,0,0,0,175.000,0
Măng khô (gói 500gr),XUANLOC1,Gói,0,200.000,200.000,0,0,0,0,0,0,0,0,0,200.000,0
Cật,HANGTUOI51,Kg,191.000,191.000,0,0,0,0,0,0,191.000,0,0,0,0,0
Huyết,HANGTUOI50,Kg,0,0,0,0,0,0,0,0,15.000,0,0,0,0,0
Cuốn họng,HANGTUOI49,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba chỉ rút xương,HANGTUOI48,Kg,234.000,234.000,234.000,0,0,0,0,234.000,178.000,0,0,0,234.000,202.000
Cốt lết,HANGTUOI47,Kg,234.000,234.000,234.000,0,0,0,0,234.000,148.000,0,0,0,234.000,202.000
Đùi,HANGTUOI46,Kg,234.000,234.000,234.000,0,0,0,0,234.000,168.000,0,0,0,234.000,202.000
Đuôi,HANGTUOI45,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Nạc dăm,HANGTUOI44,Kg,234.000,234.000,234.000,0,0,0,0,234.000,168.000,0,0,0,234.000,202.000
Thịt xay,HANGTUOI43,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Giò,HANGTUOI42,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Sườn non,HANGTUOI41,Kg,244.000,244.000,244.000,0,0,0,0,244.000,178.000,0,0,0,244.000,212.000
Dồi huyết,HANGTUOI40,Kg,191.000,191.000,191.000,0,0,0,0,191.000,158.000,0,0,0,191.000,159.000
Bao tử,HANGTUOI39,Kg,202.000,202.000,202.000,0,0,0,0,202.000,0,0,0,0,202.000,170.000
Tai,HANGTUOI38,Kg,202.000,202.000,202.000,0,0,0,0,202.000,0,0,0,0,202.000,170.000
Tim,HANGTUOI37,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Xương,HANGTUOI36,Kg,191.000,191.000,191.000,0,0,0,0,191.000,0,0,0,0,191.000,159.000
Xương cổ,HANGTUOI35,Kg,191.000,191.000,191.000,0,0,0,0,191.000,128.000,0,0,0,191.000,159.000
Xương ống,HANGTUOI34,Kg,170.000,170.000,170.000,0,0,0,0,170.000,98.000,0,0,0,170.000,138.000
Lưỡi,HANGTUOI33,Kg,202.000,202.000,202.000,0,0,0,0,202.000,0,0,0,0,202.000,170.000
Mỡ heo,HANGTUOI32,Kg,170.000,170.000,170.000,0,0,0,0,170.000,0,0,0,0,170.000,138.000
Gan,HANGTUOI31,Kg,128.000,128.000,128.000,0,0,0,0,128.000,80.000,0,0,0,128.000,96.000
Óc,HANGTUOI30,Bộ,43.000,43.000,43.000,0,0,0,0,43.000,0,0,0,0,43.000,38.000
Gà ta,HANGTUOI29,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,212.000
Gà bản,HANGTUOI28,Kg,0,0,0,0,0,0,0,0,165.000,0,0,0,0,0
Lòng Hấp,HANGTUOI27,Kg,244.000,244.000,244.000,0,0,0,0,244.000,0,0,0,0,244.000,212.000
Nạc vai,HANGTUOI26,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Vịt đồng,HANGTUOI25,Con,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,212.000
Chim bồ câu,HANGTUOI24,Con,122.000,122.000,122.000,0,0,0,0,122.000,0,0,0,0,122.000,117.000
Công gà,HANGTUOI23,Con,0,0,0,0,0,0,0,0,10.000,0,0,0,0,0
Sườn cọng,HANGTUOI22,Kg,244.000,244.000,244.000,0,0,0,0,244.000,0,0,0,0,244.000,212.000
"Mỡ heo + Công cắt, thắng mỡ, đóng hộp",HANGTUOI21,Kg,205.000,205.000,205.000,0,0,0,0,205.000,0,0,0,0,205.000,0
Gà ác nhỏ,HANGTUOI20,Con,106.000,106.000,106.000,0,0,0,0,106.000,0,0,0,0,106.000,101.000
Cật,HANGTUOI19,Kg,191.000,191.000,191.000,0,0,0,0,191.000,0,0,0,0,191.000,159.000
Phụ phí thùng xốp,HANGTUOI18,Kg,20.000,20.000,20.000,0,0,0,0,20.000,0,0,0,0,20.000,0
Lòng tươi,HANGTUOI17,Kg,170.000,170.000,170.000,0,0,0,0,170.000,0,0,0,0,170.000,138.000
Đùi bò,HANGTUOI16,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,340.000
Bắp bò,HANGTUOI15,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,310.000
Phi lê bò,HANGTUOI14,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nạc thăn,HANGTUOI13,Kg,234.000,234.000,234.000,0,0,0,0,234.000,168.000,200.000,200.000,0,234.000,202.000
Nạm bò,HANGTUOI12,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Móng heo,HANGTUOI11,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Gà ác lớn,HANGTUOI10,Con,276.000,276.000,276.000,0,0,0,0,276.000,0,0,0,0,276.000,256.000
Dạ trường,HANGTUOI9,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Má heo,HANGTUOI8,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Da heo,HANGTUOI7,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gù bò,HANGTUOI6,Kg,0,0,0,0,0,0,0,0,225.000,0,0,0,0,0
Xương ống lóc thịt,HANGTUOI5,Kg,0,0,0,0,0,0,0,0,85.000,0,0,0,0,0
Thăn bò,HANGTUOI4,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,350.000
Sườn già,HANGTUOI3,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Lá xách (lá mía) heo,HANGTUOI2,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Đầu heo,HANGTUOI1,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0